street,facing_bet,pot_size,to_call,pot_odds,bet_to_pot,hero_position,villain_position,is_ip,hand_category,hand_rank,is_made_hand,is_strong_made,is_monster,has_flush_draw,has_straight_draw,draw_outs,is_monotone,is_two_tone,is_rainbow,is_paired,is_double_paired,connectivity_score,high_card_rank,danger_score,flush_danger,straight_danger,raw_equity,equity_vs_range,better_hand_pct,worse_hand_pct,equity_margin,spr,is_3bet_pot,villain_aggression_count,villain_checked_back,villain_call_count,num_opponents,villain_top_pair_plus_pct,villain_draw_pct,villain_air_pct,villain_range_capped,board_favour,num_callers_to_bet,facing_raise,flush_block_pct,overcard_outs,improvement_probability,hero_range_percentile,has_showdown_value,villain_fold_equity_estimate,flush_draw_rank,is_preflop_aggressor,villain_medium_made_pct,level_street,level_facing_bet,level_pot_size,level_to_call,level_pot_odds,level_bet_to_pot,level_hero_position,level_villain_position,level_is_ip,level_hand_category,level_hand_rank,level_is_made_hand,level_is_strong_made,level_is_monster,level_has_flush_draw,level_has_straight_draw,level_draw_outs,level_is_monotone,level_is_two_tone,level_is_rainbow,level_is_paired,level_is_double_paired,level_connectivity_score,level_high_card_rank,level_danger_score,level_flush_danger,level_straight_danger,level_raw_equity,level_equity_vs_range,level_better_hand_pct,level_worse_hand_pct,level_equity_margin,level_spr,level_is_3bet_pot,level_villain_aggression_count,level_villain_checked_back,level_villain_call_count,level_num_opponents,level_villain_top_pair_plus_pct,level_villain_draw_pct,level_villain_air_pct,level_villain_range_capped,level_board_favour,level_num_callers_to_bet,level_facing_raise,level_flush_block_pct,level_overcard_outs,level_improvement_probability,level_hero_range_percentile,level_has_showdown_value,level_villain_fold_equity_estimate,level_flush_draw_rank,level_is_preflop_aggressor,level_villain_medium_made_pct,label
0.0,1.0,90.0,30.0,0.25,0.333333,3.0,5.0,1.0,1.0,0.31,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.25,0.25,0.0,0.38375,0.38375,0.94868,0.051167,0.13375,1.1111,0.0,0.0,0.0,1.0,2.0,0.3149,0.0174,0.3386,1.0,-0.0149,0.0,0.0,0.082434,3.0,0.191489,0.434114,0.0,0.457517,11.0,1.0,0.3291,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,1.0,0.7,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.7,0.5,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.5,0.1,0.1,0.1,0.5,0.5,0.7,0.7,0.1,0.5,0.5,0.1,0.7,CALL
0.0,1.0,90.0,30.0,0.25,0.333333,2.0,5.0,1.0,12.0,3.61,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.9005,0.9005,0.0,1.0,0.6505,1.1111,0.0,0.0,0.0,1.0,2.0,0.3289,0.0421,0.3327,1.0,-0.0289,0.0,0.0,0.0,0.0,1.0,0.995501,1.0,0.422565,0.0,1.0,0.2964,0.1,1.0,0.1,0.1,0.5,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.1,1.0,0.7,0.7,0.1,0.5,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.7,0.1,0.7,0.1,0.1,0.1,0.1,0.7,0.1,0.5,0.1,0.1,0.7,RAISE
0.0,1.0,90.0,30.0,0.25,0.333333,3.0,5.0,1.0,0.0,0.14,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.25,0.25,0.0,0.17975,0.17975,1.0,0.0,-0.07025,1.1111,0.0,0.0,0.0,1.0,2.0,0.3149,0.0174,0.3386,1.0,-0.0149,0.0,0.0,0.0,0.0,0.085106,0.328467,0.0,0.457517,0.0,1.0,0.3291,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.7,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.7,0.7,0.5,0.1,0.5,0.7,FOLD
1.0,0.0,90.0,0.0,0.0,0.0,3.0,4.0,1.0,10.0,2.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,0.38,0.0,0.3,0.81475,0.81475,0.030568,0.967249,0.81475,1.1111,0.0,0.0,1.0,1.0,2.0,0.2593,0.037,0.2963,1.0,0.0407,0.0,0.0,0.0,0.0,1.0,0.946941,1.0,0.521573,0.0,1.0,0.4074,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.1,0.5,0.1,1.0,0.7,0.7,0.1,0.5,0.1,0.1,0.5,0.1,0.1,1.0,1.0,1.0,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.5,0.1,0.5,0.7,BET
0.0,0.0,90.0,0.0,0.0,0.0,5.0,2.0,0.0,12.0,3.59,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,0.25,0.25,0.0,0.8245,0.8245,0.019737,0.980263,0.8245,1.1111,0.0,1.0,0.0,0.0,2.0,0.159,0.0,0.4293,0.0,0.141,0.0,0.0,0.0,0.0,1.0,0.991228,1.0,0.707281,0.0,0.0,0.4118,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,1.0,0.1,0.1,0.1,0.5,0.1,0.7,0.1,0.1,0.1,1.0,1.0,1.0,0.7,0.5,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.5,0.1,0.5,0.7,CHECK
0.0,1.0,90.0,30.0,0.25,0.333333,3.0,5.0,1.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,0.5799,0.5799,0.0,0.39925,0.39925,0.815688,0.165371,0.14925,1.1111,0.0,0.0,0.0,1.0,2.0,0.2207,0.0,0.3294,1.0,0.0793,0.0,0.0,0.180965,3.0,0.191489,0.153061,0.0,0.607308,14.0,1.0,0.4499,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.1,0.5,0.1,0.1,0.5,0.5,0.7,0.7,0.1,0.5,0.5,0.1,0.7,RAISE
1.0,1.0,180.0,59.0,0.246862,0.327778,2.0,5.0,1.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,0.08,0.0,0.0,0.27525,0.27525,0.778142,0.210446,0.028388,0.5556,0.0,1.0,0.0,1.0,2.0,0.3264,0.3819,0.1042,1.0,-0.0264,0.0,0.0,0.14891,3.0,0.195652,0.435716,0.0,0.232951,14.0,1.0,0.1875,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.7,0.5,0.1,0.5,0.1,0.1,0.1,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.5,0.5,0.7,0.7,0.1,0.5,0.5,0.1,0.7,CALL
1.0,1.0,180.0,59.0,0.246862,0.327778,3.0,5.0,1.0,12.0,3.62,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,12.0,0.38,0.0,0.3,0.91,0.91,0.0,1.0,0.663138,0.5556,0.0,1.0,0.0,1.0,2.0,0.3118,0.0837,0.3042,1.0,-0.0118,0.0,0.0,0.0,0.0,1.0,0.996981,1.0,0.417768,0.0,1.0,0.3004,0.1,1.0,0.1,0.1,0.5,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.5,0.1,0.5,0.1,1.0,0.7,0.7,0.1,0.5,0.1,0.7,0.1,0.1,0.1,1.0,1.0,1.0,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.5,0.1,0.5,0.7,RAISE
2.0,1.0,180.0,59.0,0.246862,0.327778,4.0,3.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,14.0,0.42,0.0,0.3,0.0415,0.0415,0.724011,0.248725,-0.205362,0.5556,0.0,0.0,1.0,2.0,2.0,0.729,0.0,0.181,1.0,-0.429,0.0,0.0,0.053327,0.0,0.0,0.0,0.0,0.073441,12.0,0.0,0.09,0.1,0.1,0.1,0.1,0.7,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.5,0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.1,1.0,1.0,1.0,0.1,0.5,0.1,0.1,0.1,0.5,0.5,0.7,0.7,0.5,0.1,0.1,0.7,FOLD
0.0,0.0,90.0,0.0,0.0,0.0,2.0,5.0,1.0,12.0,3.62,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,0.25,0.25,0.0,0.88,0.88,0.0,1.0,0.88,1.1111,0.0,0.0,0.0,1.0,2.0,0.1408,0.0141,0.493,1.0,0.1592,0.0,0.0,0.0,0.0,1.0,0.995528,1.0,0.72616,0.0,1.0,0.3521,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,1.0,0.7,0.7,0.1,0.5,0.1,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.5,0.1,0.5,0.7,BET
